2024-09-20 12:26:13 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:13 - MainProcess - INFO - ALLOWED - App: svchost.exe , IP: 192.168.19.251, Protocol: UDP
2024-09-20 12:26:14 - MainProcess - INFO - ALLOWED - App: svchost.exe , IP: 192.168.19.251, Protocol: UDP
2024-09-20 12:26:14 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:14 - MainProcess - INFO - ALLOWED - App: svchost.exe , IP: 192.168.19.251, Protocol: UDP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: svchost.exe , IP: 192.168.19.251, Protocol: UDP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.104.91.27, Protocol: TCP
2024-09-20 12:26:15 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:16 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: OneDrive.exe , IP: 52.105.136.41, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: Code.exe , IP: 20.189.173.14, Protocol: TCP
2024-09-20 12:26:17 - MainProcess - INFO - ALLOWED - App: taskhostw.exe , IP: 13.107.246.58, Protocol: TCP
